api_duration_s,api_size_kib,attack_ms,band_high_jump_db,band_low_jump_db,band_mid_jump_db,baseline_brightness_db,baseline_db,baseline_mad_db,brightness_change_db,broadband_jump_db,change_1000ms_db,change_100ms_db,change_250ms_db,change_500ms_db,change_50ms_db,classification,crest_db,decision_score,detection_mode,duration_s,event_at_s,event_brightness_db,event_db,event_duration_s,event_near_clip_pct,event_peak_dbfs,event_persistence,event_spectral_flatness,event_zcr,file,jump_db,label,max_spectral_flux,md5,old_classification,old_dynamic_range_db,old_jump_at_s,old_max_jump_db,old_median_db,old_peak_window_db,old_score,p10_db,p25_db,p50_db,p75_db,p90_db,p95_db,p99_db,path,peak_dbfs,peak_to_median_db,raw_baseline_dbfs,raw_event_dbfs,raw_jump_db,raw_median_dbfs,rms_dbfs,robust_scale_db,robust_z,sample_above_-12db_pct,sample_above_-3db_pct,sample_above_-6db_pct,sample_above_-9db_pct,score,spectral_flux_at_event,spectral_flux_near_event,spectral_shape_distance,start_at_s,start_brightness_db,start_duration_s,start_event_db,start_near_clip_pct,start_score,start_spectral_flatness,status,suspicious,transition_score,window_above_-12db_pct,window_above_-3db_pct,window_above_-6db_pct,window_above_-9db_pct
,,20.0,0.8228577726086215,14.385396499819679,0.46748764502160167,-10.728263788564574,-28.750070934268216,0.7768994852573474,-18.883323762778524,0.46748764502160167,43.453180654686165,54.652992341771466,52.96216061128623,50.767390319281276,40.82182595746154,normal,18.528978389112808,0.0,transition,10.518625,8.450000000000001,-29.6115875513431,-11.071287633570286,0.35000000000000003,2.9125,-0.13296209275722504,0.8,2.0379204717217332e-08,0.005632040050062579,17884304186390776221.mp4,17.67878330069793,unlabeled,0.5768826241554716,,suspicious,23.065151447893214,0.1,26.872742602731144,-27.542633290700543,-4.477481842807328,4,-63.207004430882506,-46.46976225285505,-29.221757221437414,-27.709869460186688,-24.929846338328776,-12.87814954769432,-10.498441969452678,/b/src/336272252/17884304186390776221.mp4,-0.0509670190513134,20.865409136360487,-25.550493076484454,-6.5229237741619635,19.02756930232249,-27.583671727340747,-18.57994540816412,2.0,8.839391650348965,3.69702380952381,0.7964285714285714,1.8952380952380954,2.8717261904761906,0.2919857898978193,0.2928319308192213,0.3720485688829757,0.42149780227591294,1.9500000000000002,-9.998927129418298,0.0,-43.720990604600544,0.0,1.4323286639792546e-10,0.012084440540787937,ok,False,0.2919857898978193,4.761904761904762,0.0,0.0,0.4761904761904762
,,,-9.87607600017605,5.8623029444497625,-5.180732827520119,-7.26928262650789,-14.437452780377068,1.1644491638373626,1.3603563762231232,-9.87607600017605,14.50582050541716,16.255847923956484,16.096102125890233,12.610257488970834,10.1606593411472,normal,11.392379191122973,0.0,transition,12.7245625,9.55,-5.908926250284766,-2.3554970269090463,0.45,43.81875,4.818057537078857,0.8,0.07199705708253695,0.11389236545682102,17884274747240014140.mp4,12.081955753468023,unlabeled,0.689894123454479,,normal,12.406307715733002,8.9,12.72332312001249,-12.831642633415894,-0.42533491768289333,2,-16.215636216163816,-15.153869229771402,-14.00113001321316,-8.275683632994975,-2.632113332234264,-2.0565085942647716,-1.1674687510747845,/b/src/336272252/17884274747240014140.mp4,5.161083221435547,13.429415796059462,-13.707863178687298,-1.308925305286269,12.398937873401028,-12.82585484109999,-6.231295969687426,2.0,6.040977876734011,46.209399606299215,19.772391732283463,23.200049212598426,30.613927165354333,0.21591294418700557,0.05475251475595711,0.40098778488055786,0.45161302519227076,0.35000000000000003,-11.01730944034291,0.0,-13.955440491857374,0.0,0.0018337693039797824,0.024158730621219763,ok,False,0.21591294418700557,27.95275590551181,12.204724409448819,21.653543307086615,25.984251968503933
,,60.0,25.508564888944235,24.138911268655775,28.73894213141325,-14.828448708484897,-33.480212236052246,12.892390639283592,9.989572505597932,24.138911268655775,39.80583265532904,40.8842176016915,37.148205536456715,37.881234642305735,21.32543664594372,normal,12.890708337294559,0.0,transition,15.0711875,4.8500000000000005,-4.838876202886965,-12.662604454222587,0.30000000000000004,0.11249999999999999,-0.5194982886314392,0.5,0.002288581214467374,0.1702127659574468,17884178107291743372.mp4,20.817607781829658,unlabeled,0.5791919755043515,,normal,11.958706265014305,4.1000000000000005,22.047750785538142,-17.35216350990879,-5.393457244894487,2,-45.24005099747747,-34.569321000268495,-19.89525902835938,-12.094888986526728,-7.726766405465558,-6.505090764557255,-5.922752958142096,/b/src/336272252/17884178107291743372.mp4,-0.27964216470718384,14.392331765206402,-32.68353763106896,-14.23247514179705,18.45106248927191,-19.483818639481523,-13.170350502001742,19.114258361801852,1.0891140732633289,18.889950166112957,1.4111295681063123,5.953488372093023,11.878737541528238,0.21536842948380805,0.2603613586243359,0.3330593409138642,0.7307703312784464,1.9500000000000002,-7.2543466014985665,0.0,-20.56590613173664,0.0,5.020322428606969e-05,0.019983412018393605,ok,False,0.21536842948380805,24.25249169435216,0.0,1.3289036544850499,14.285714285714285
,,170.0,37.84993568244932,36.91717207306561,44.969574745773144,-15.776086975488827,-47.030369551146265,4.863879404743628,4.8305169987799665,36.91717207306561,42.37918316493333,29.937331749242674,39.649840921234784,40.68740657437409,17.71612719861973,normal,17.94249643488742,0.0,transition,7.662625,6.050000000000001,-10.94556997670886,-13.221619667090831,0.25,0.0,-1.056443691253662,0.5,0.0023399889131280253,0.08072590738423029,17884501014690371696.mp4,33.80874988405543,unlabeled,0.5269589759841725,,normal,18.60574190356587,6.1000000000000005,35.607583614386385,-26.879987671205413,-8.27424576763954,2,-51.26527794954801,-48.52738090350921,-28.44221475769869,-19.89923240004051,-14.789396645694582,-11.894621279933977,-9.174667845795547,/b/src/336272252/17884501014690371696.mp4,-1.048506259918213,21.68702968558769,-45.363634260230924,-12.767366844909882,32.596267415321044,-29.19380430768447,-18.991002694805633,7.211187605472902,4.688374749589986,5.166666666666667,0.1503267973856209,0.9370915032679737,2.5098039215686274,0.17953372184577976,0.2075102623073287,0.3330337659071063,0.7890019904307479,1.5,-2.592015367925171,0.05,-20.068513254704477,0.0,8.593485314677315e-05,0.039941768742918674,ok,False,0.17953372184577976,5.88235294117647,0.0,0.0,1.3071895424836601
,,,0.7568166233265954,2.628671041352618,1.6138840178093048,-10.652286432334634,-8.582058498048275,0.7184939809678537,3.4785120967908147,0.7568166233265954,10.383946682728531,8.556930522928152,10.606349453316856,10.69187707558958,6.915876265167682,normal,7.4478550023575085,0.0,loud-start,12.8,3.25,-7.173774335543819,-8.0806237370412,0.0,3.675,0.604823112487793,0.0,0.06898091100101458,0.13141426783479349,17884515115330699328.webm,0.501434761007074,unlabeled,0.4677721862823917,,normal,1.520815757998525,0.1,7.146115061394944,-6.433528989708915,-4.91271323171039,1,-9.92594921860118,-9.215568849706552,-8.583935589782804,-7.8789403773546045,-7.315611828802731,-7.172819693168366,-6.9279012862024185,/b/src/336272252/17884515115330699328.webm,0.9559588432312012,2.025000572472435,-5.806986770078963,-7.067697974348506,-1.2607112042695432,-6.459608374286272,-6.491896159126307,2.0,0.250717380503537,63.89038085937499,15.042236328125,33.714599609375,50.61718750000001,0.1599723391328187,0.10438492290910499,0.39630989867315464,0.2602486841827658,0.7000000000000001,-10.773805037892677,0.6000000000000001,-8.338357444570526,6.075,0.1599723391328187,0.03487084706096716,ok,False,0.0013774812480654359,96.875,0.0,0.0,67.578125
,,20.0,-7.252943157756464,2.7744276093063185,-1.598502249293801,-6.641130410407692,-23.987044364137933,1.4579940435457033,-22.837492470014816,-7.252943157756464,15.7233856460089,15.308966637002893,15.703643632857062,14.0073106477344,9.29697254252692,normal,19.466092283061236,0.0,transition,19.040375,14.950000000000001,-29.47862288042251,-10.583377041287905,0.4,5.4875,0.044742874801158905,0.7,2.6558975249857284e-07,0.0068836045056320395,17884157047020970126.mp4,13.403667322850028,unlabeled,0.5873399920406275,,suspicious,19.09337120462759,15.100000000000001,17.513858620810957,-23.713933123032817,-4.620561918405226,4,-90.0,-29.497515501200517,-24.618632792234873,-22.527153937295385,-21.15674194862425,-20.076611522915794,-10.435433782085218,/b/src/336272252/17884157047020970126.mp4,0.044742874801158905,16.122363840141293,-23.322352537991883,-6.760147119144234,16.562205418847647,-23.980423658484664,-19.421349408260077,2.1616219689608593,6.2007453270349,1.997861842105263,0.47845394736842106,0.9546052631578948,1.555921052631579,0.15132546931782856,0.033775559361141086,0.3417952205611357,0.45820041589099775,0.2,-12.467486613912527,0.0,-24.629079554002125,0.0,5.114851251762551e-06,0.00920936318745496,ok,False,0.15132546931782856,2.631578947368421,0.0,0.0,0.2631578947368421
,,20.0,-11.095545246218219,-13.849676074924492,-12.188282946740902,-5.584543964777721,-21.960061825626234,0.7610113496816222,-24.530348509206547,-13.849676074924492,13.727987571468017,18.833071510479495,16.98763909063977,14.493453642150897,9.892213341812564,normal,18.392030549629116,0.0,transition,17.507875,13.450000000000001,-30.11489247398427,-10.722219348799161,0.4,5.7250000000000005,0.04142319783568382,0.7,2.199439019051672e-08,0.006257822277847309,17884288944801007820.mp4,11.237842476827073,unlabeled,0.5459076200742498,,suspicious,17.406840317053774,13.5,17.57520420816408,-21.797238694960548,-4.390398377906774,4,-90.0,-23.992583845808458,-22.13635587419918,-21.04336826411597,-19.294110476710998,-18.548465807896587,-10.593620468536946,/b/src/336272252/17884288944801007820.mp4,0.04142319783568382,15.386006744444515,-21.342670329616627,-5.3080128988613575,16.03465743075527,-21.944968007723386,-18.350607351793432,2.0,5.618921238413536,3.2430357142857145,0.5196428571428572,1.0376785714285715,1.7048214285714285,0.10491433310847201,0.1404644017126372,0.3828703285273832,0.5097683915864937,1.2000000000000002,-5.070564004776053,0.0,-21.033577703723793,0.0,4.248348324002749e-05,0.08820775435022217,ok,False,0.10491433310847201,2.571428571428571,0.0,0.0,0.5714285714285714
,,,-3.34517206870133,6.884683912763599,0.8216675530791893,-10.352932478970256,-10.677008845419994,1.813407616760495,-1.814433822418799,-3.34517206870133,8.706347466730502,7.6258073248093385,6.366557994022898,6.275821286124903,4.140310320071974,normal,8.663618831001601,0.0,loud-start,9.498375,8.0,-12.167366301389055,-8.318798049069137,0.0,18.0,1.09544038772583,0.0,0.022697116238278088,0.04881101376720901,17884629438390173620.mp4,2.358210796350857,unlabeled,0.4642584791697137,,normal,4.678437417320707,4.3,8.936398376773791,-7.52085056305854,-2.8424131457378325,1,-14.5815532403,-12.004102191275285,-9.937502633480092,-8.403018733332296,-7.349410483358559,-6.891044812257612,-5.935304137247069,/b/src/336272252/17884629438390173620.mp4,1.8364884853363037,4.425440763179863,-8.40520659849345,-6.657848701443546,1.7473578970499037,-7.423531502825723,-6.827130345665298,2.6885581326091095,0.8771284383805876,54.979497354497354,15.353174603174601,27.181216931216934,41.26884920634921,0.10396288648292835,0.19185737725255797,0.4252006039163445,0.21525935329193802,1.55,-10.568578831521858,0.30000000000000004,-8.183544994421032,8.59375,0.10396288648292835,0.02399381040258781,ok,False,0.002854810652541237,74.60317460317461,0.0,1.5873015873015872,35.44973544973545
,,,4.418391577066958,8.430919977561832,7.05814851190136,-8.989603632082144,-12.72476034355287,2.515040197841479,3.2577082009931795,4.418391577066958,12.392278858980362,8.43740809591298,9.248942987921335,10.281417843768732,4.39528906666998,normal,10.452130105220107,0.0,loud-start,11.448875,1.7000000000000002,-5.731895431088964,-8.67103557083442,0.0,0.9062499999999999,1.3887913227081299,0.0,0.06256133110698306,0.15269086357947437,17884315995090544703.mp4,4.05372477271845,unlabeled,0.5201279245902702,,normal,3.9072920934672375,1.1,6.646204585043678,-9.09037046270584,-5.183078369238602,1,-12.66960169855455,-11.325900191541734,-9.563502039283037,-8.543781583336878,-7.8663612370556075,-7.235444700092804,-6.701010572813634,/b/src/336272252/17884315995090544703.mp4,1.6990798711776733,3.409461042578238,-12.88119640531028,-8.85914382670743,4.022052578602851,-9.307368454752622,-8.753050234042433,3.7287985973197766,1.0871396421443162,47.359923245614034,6.030427631578948,18.293585526315788,32.96765350877193,0.09889575215693912,0.11912289999119367,0.13015382943634624,0.374675716274785,1.7000000000000002,-5.731895431088964,0.35000000000000003,-8.67103557083442,1.528125,0.09889575215693912,0.06256133110698306,ok,False,0.004429231457007372,83.77192982456141,0.0,0.0,33.33333333333333
,,20.0,-4.934728014958118,0.5421571225922612,-6.288561611285803,-19.965463345965738,-20.3384084540654,1.1551221151967894,-9.52006222960896,-6.288561611285803,13.323907156057917,13.141450287581847,13.503593637714033,13.13895760678384,8.059104012982733,normal,18.242649691371415,0.0,transition,18.3901875,14.3,-29.485525575574698,-10.599217141855867,0.35000000000000003,5.475,0.04537328705191612,0.6,2.6500108741027754e-07,0.0068836045056320395,17884549845281348868.mp4,9.739191312209535,unlabeled,0.5844531621957875,,suspicious,15.84317060975519,14.5,15.089358250722013,-20.331904070492204,-4.488733460737015,4,-90.0,-24.7430757462756,-21.177901637626363,-19.763109715486046,-18.769923378303407,-17.79762481049287,-10.381035905052139,/b/src/336272252/17884549845281348868.mp4,0.04537328705191612,12.699560729812307,-19.598405119352208,-6.725116959414961,12.873288159937246,-20.444274357901264,-18.1972764043195,2.0,4.869595656104767,2.8383855585831066,0.49744550408719346,0.9887602179836512,1.6236376021798367,0.08795956673604026,0.3081192034027785,0.34391791168697117,0.6674493782695068,1.6500000000000001,-19.683407791075034,0.0,-20.387282192125127,0.0,5.141851147482615e-05,1.1665397004643323e-05,ok,False,0.08795956673604026,2.7247956403269753,0.0,0.0,0.2724795640326975
