path,file,thread,label_at_scoring,audio_sha256,logistic-compact-c005_score,logistic-compact-c005_above_training_threshold,forest-rich-depth3_score,forest-rich-depth3_above_training_threshold
/b/src/336185346/17881493032740090439.mp4,17881493032740090439.mp4,336185346,negative,09055d9b37c4c60acd923ffe005ef96325318f83bb926b6b62b32fa71c26d2e1,0.11441898289682383,False,0.0,False
/b/src/336185346/17881493033801858155.mp4,17881493033801858155.mp4,336185346,negative,c03397e961f6fa341adf0e135cfb552ede10e7a43734250dce75fcfc7b3c0142,0.15647577414289085,False,0.0,False
/b/src/336185346/17881493034282328083.mp4,17881493034282328083.mp4,336185346,negative,8fd1a7b101985f939569a139fe3f5605059a49664cf4e300f6493c67d6333b12,0.2232693921435536,False,0.0,False
/b/src/336185346/17881495343690864519.mp4,17881495343690864519.mp4,336185346,negative,b1094d429c872b12ad920d8d36b057f36580ff7156a8d74d5fd639f696bbc49b,0.14493428618389514,False,0.0,False
/b/src/336185346/17881495344031601800.mp4,17881495344031601800.mp4,336185346,negative,37607f9b94886fa76da4c1c8cecc2fb9cc67e4bb17356c09a6f8e55ab9e7abb3,0.3798414244521858,False,0.11565904258231063,False
/b/src/336185346/17881495344432979953.mp4,17881495344432979953.mp4,336185346,negative,e7cb92af2156baf41ed5c0e2e0fb9651fec95b3e78461ecd8df574562c2287e2,0.10428394185910556,False,0.0,False
/b/src/336185346/17881496993390411915.mp4,17881496993390411915.mp4,336185346,negative,b5f7f5449e764753cdff0a149e05d8d446de9eab5958961696e19808cbe281b9,0.06312477521755461,False,0.0,False
/b/src/336185346/17881496993831205749.webm,17881496993831205749.webm,336185346,negative,d6501242bdd59d789bcf7b26cb4b11674da136dd436e5b392232acfaf24600ee,0.06190690043272734,False,0.0,False
/b/src/336185346/17881496994252130104.mp4,17881496994252130104.mp4,336185346,negative,617a79c8d01f2abd70d22be05a81725b690572dc7c1683713cbf0499a96a7e4c,0.04774516131959181,False,0.0,False
/b/src/336185346/17881496994623646990.mp4,17881496994623646990.mp4,336185346,negative,305682ef1f8d5dc0b6273af60ae4b0fcdc0cf1172ee2cb32730d5078c69948c3,0.08538078995493481,False,0.0,False
/b/src/336185346/17881499155950627802.mp4,17881499155950627802.mp4,336185346,negative,9bfc845643b47dc0095725353ba257a4745d2a9466fd7e1adacabdd238a4add2,0.10433698347793371,False,0.0,False
